dataset,seed,family,method,affine_depth,graph_diameter,best_epoch,stopped_epoch,best_validation_loss,test_loss,test_accuracy,elapsed_seconds,pullback_direction_norm,pullback_force_norm,pullback_precondition_ratio,transport_all_blocks_reached,transport_reached_blocks,transport_steps,transport_factor_gap,transport_graph_diameter,transport_max_factor_norm,transport_min_factor_norm,edge_energy,gauge_capture,gauge_coordinate_change_residual,gauge_explicit_transport,gauge_frame_orthogonality_error,gauge_transport_residual,gauge_transport_residual_max,metric_condition_bound,metric_eig_max,metric_eig_min,metric_energy,wave_energy
digits,3,pullback,relaxed_10hop,6,5,40,40,0.20459833402067287,0.19402909412907812,0.9622222222222222,14.78860580001492,,,,1.0,6.0,10.0,0.035990653763888325,5.0,5.479034801095326,2.729415441309576,,,,,,,,,,,,
digits,3,gauge,transported_propagating,6,5,40,40,0.2013973600276251,0.19132669983248077,0.9577777777777777,29.40326960000675,,,,,,,,,,,0.038089428599177626,0.1298064222996003,1.194077744792565,1.0,4.795927070950508e-15,0.478668799067786,0.7988544574114242,1.3115454781201457,0.20577945561488992,-0.13153888117064688,0.051037170864703704,0.23600465052678843
digits,3,gauge,transported_local,6,5,40,40,0.20137228276510818,0.19129842719213333,0.9577777777777777,17.024342200020328,,,,,,,,,,,0.19467658905380536,0.1297581886213804,1.1938888433472858,1.0,4.849633013328996e-15,0.47878923426928305,0.799373938092544,1.7915372803094596,0.4029186229058667,-0.3167460492030379,0.19467658905380536,0.2051017737342444
digits,4,pullback,instantaneous,6,5,40,40,0.2129155211330542,0.17447098555982196,0.9688888888888889,9.609355899970978,0.22022950559562693,0.2355861714733839,0.936195638713056,1.0,6.0,5.0,,,,,,,,,,,,,,,,
digits,4,pullback,local_output_only,6,5,40,40,0.21401329521979426,0.17363796838057308,0.9688888888888889,9.187332300003618,,,,0.0,1.0,5.0,0.76478043245554,5.0,2.81226531917502,0.0,,,,,,,,,,,,
digits,4,pullback,partial_3hop,6,5,40,40,0.21327298606824108,0.17386483802879696,0.9688888888888889,9.199473100015894,,,,0.0,4.0,3.0,0.48951213316098124,5.0,2.831344581358071,0.0,,,,,,,,,,,,
digits,4,pullback,full_reach,6,5,40,40,0.21279338679512605,0.1738515049826612,0.9688888888888889,9.150229700026102,,,,1.0,6.0,5.0,0.3059546378181826,5.0,2.9634354611745612,0.48189920333300235,,,,,,,,,,,,
digits,4,pullback,relaxed_10hop,6,5,40,40,0.21282083591488057,0.17434755472718672,0.9688888888888889,9.19306299998425,,,,1.0,6.0,10.0,0.035964341662192346,5.0,5.207014579308581,2.7344052419293323,,,,,,,,,,,,
digits,4,gauge,transported_propagating,6,5,40,40,0.21035505610652142,0.1703648334476582,0.9688888888888889,16.613953299995046,,,,,,,,,,,0.03827196728442781,0.14727116865377612,1.2170472252291873,1.0,4.7591539004365865e-15,0.45624369041724927,0.7343969269411051,1.3129980773802243,0.20732148136710904,-0.13169959666226158,0.050108850373070564,0.23773831998901973
digits,4,gauge,transported_local,6,5,40,40,0.21036017959882658,0.17036516370701968,0.9688888888888889,16.436138799996115,,,,,,,,,,,0.1926134492232039,0.1472604295240326,1.2168493182303972,1.0,4.76806262866079e-15,0.4563381246947997,0.7349752084758817,1.7946643793507646,0.40397464444490266,-0.3198055347425496,0.1926134492232039,0.2052839435338349
